#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
35,Sai Tirumala NVR Engineering College,B.Tech,Guntur,"Opp: Sai Bab Temple, Jonnalagadda, Narasaraopet, Andhra Pradesh 522601",08647-219083 | principal@stnvr.ac.in,https://stnvr.ac.in/,Andhra Pradesh
36,Chaitanya Engineering College,B.Tech,Visakhapatnam,"Kommadi, Madhurawada, Visakhapatnam, Andhra Pradesh 530041",0891-2737466 | principal@cec.ac.in,https://www.cec.ac.in/,Andhra Pradesh
37,Avanthi Institute of Engineering and Technology,B.Tech,Visakhapatnam,"Tamaram, Makavarapalem, Andhra Pradesh 531113",08932-222382 | principal@aiet.edu.in,https://www.aiet.edu.in/,Andhra Pradesh
38,Chaitanya Institute of Science and Technology,B.Tech,East Godavari,"Madhavapatnam, Samalkot Road, Kakinada, Andhra Pradesh 533005",0884-2344440 | principal@cist.ac.in,https://www.cist.ac.in/,Andhra Pradesh
39,Sir C R Reddy College of Engineering,B.Tech,West Godavari,"Vatluru, Eluru, Andhra Pradesh 534007",08812-230840 | principal@sircrrengg.ac.in,https://www.sircrrengg.ac.in/,Andhra Pradesh
40,Miracle Educational Society Group of Institutions,B.Tech,Vizianagaram,"Miracle City, Boggaram, Air Bye-Pass Road, Bhogapuram, Andhra Pradesh 535216",08922-201149 | principal@miracle.edu.in,https://www.miracle.edu.in/,Andhra Pradesh
41,Sree Venkateswara College of Engineering,B.Tech,Nellore,"North Rajupalem, Kodavaluru, Andhra Pradesh 524316",08622-211461 | principal@svcengg.com,https://www.svcengg.com/,Andhra Pradesh
42,Sri Venkateswara Institute of Science and Technology,B.Tech,Kadapa,"Pulivendla Road, Tadigotla, Kadapa, Andhra Pradesh 516003",08564-258518 | principal@svistkadapa.ac.in,https://www.svistkadapa.ac.in/,Andhra Pradesh
43,Srinivasa Institute of Engineering and Technology,B.Tech,East Godavari,"Cheyyeru, Katrenikona, Andhra Pradesh 533222",08857-227778 | principal@sietamt.com,https://www.sietamt.com/,Andhra Pradesh
44,Swamy Vivekananda Engineering College,B.Tech,Vizianagaram,"Kalavarai, Bobbili, Andhra Pradesh 535558",08944-254944 | principal@svec.edu.in,https://www.svec.edu.in/,Andhra Pradesh
45,Universal College of Engineering and Technology,B.Tech,Guntur,"Dokiparru, Medikonduru, Andhra Pradesh 522438",0863-2290042 | principal@ucet.co.in,https://www.ucet.co.in/,Andhra Pradesh
46,Visakha Institute of Engineering and Technology,B.Tech,Visakhapatnam,"Narava, Visakhapatnam, Andhra Pradesh 531133",0891-2892902 | principal@vietvsp.com,https://www.vietvsp.com/,Andhra Pradesh
47,Vizag Institute of Technology,B.Tech,Visakhapatnam,"Dakamarri, Bheemili, Visakhapatnam, Andhra Pradesh 531162",08922-248021 | principal@vitam.edu.in,https://www.vitam.edu.in/,Andhra Pradesh
48,West Godavari Institute of Science and Engineering,B.Tech,West Godavari,"Prakasaraopalem, Avapadu, Andhra Pradesh 534112",08816-227881 | principal@wiseengg.org,https://www.wiseengg.org/,Andhra Pradesh
49,YGVU YSR Engineering College,B.Tech,YSR Kadapa,"Korrapadu, Proddatur, Andhra Pradesh 516360",08564-201117 | principal@yvu.edu.in,https://www.yvu.edu.in/,Andhra Pradesh
50,Adarsh College of Engineering,B.Tech,East Godavari,"Chebrole, Gollaprolu, Andhra Pradesh 533449",08869-253552 | principal@adarsh.ac.in,https://www.adarsh.ac.in/,Andhra Pradesh
51,AM Reddy Memorial College of Engineering and Technology,B.Tech,Guntur,"Petlurivaripalem, Narasaraopet, Andhra Pradesh 522601",08647-247518 | principal@amreddyengineering.ac.in,https://www.amreddyengineering.ac.in/,Andhra Pradesh
52,A S N Womens Engineering College,B.Tech,Guntur,"Burripalem Road, Tenali, Andhra Pradesh 522201",08644-230144 | principal@asnwet.com,https://www.asnwet.com/,Andhra Pradesh
53,Avanthi Institute of Engineering and Technology Cherukupally,B.Tech,Vizianagaram,"Cherukupally, Bhogapuram, Andhra Pradesh 535216",08933-226739 | principal@avanthienggcollege.ac.in,https://www.avanthienggcollege.ac.in/,Andhra Pradesh
54,Bonam Venkata Chalamaiah Institute of Technology and Science,B.Tech,East Godavari,"Batlapalem, Amalapuram, Andhra Pradesh 533221",08856-235416 | principal@bvcits.org,https://www.bvcits.org/,Andhra Pradesh
55,Chaitanya Institute of Technology and Science,B.Tech,Warangal,"Madikonda, Hanamkonda, Andhra Pradesh",Not Available (after search),Not Available (after search),Andhra Pradesh
56,Chalapathi Institute of Technology,B.Tech,Guntur,"Mothadaka, Guntur, Andhra Pradesh 522016",0863-2524112 | principal@cit.edu.in,https://www.cit.edu.in/,Andhra Pradesh
57,Chebrolu Engineering College,B.Tech,Guntur,"Chebrolu, Guntur, Andhra Pradesh 522212",08644-253412 | principal@chebroluengg.ac.in,https://www.chebroluengg.ac.in/,Andhra Pradesh
58,DNR College of Engineering and Technology,B.Tech,West Godavari,"Balusumudi, Bhimavaram, Andhra Pradesh 534202",08816-221237 | principal@dnrcet.org,https://www.dnrcet.org/,Andhra Pradesh
59,Eluru College of Engineering and Technology,B.Tech,West Godavari,"Duggirala, Eluru, Andhra Pradesh 534004",08812-215655 | principal@ecet.ac.in,https://www.ecet.ac.in/,Andhra Pradesh
60,Gudlavalleru Engineering College,B.Tech,Krishna,"Gudlavalleru, Andhra Pradesh 521356",08674-273737 | principal@gecgudlavalleru.ac.in,https://www.gecgudlavalleru.ac.in/,Andhra Pradesh
61,Guntur Engineering College,B.Tech,Guntur,"Yanamadala, Guntur, Andhra Pradesh 522019",0863-2288889 | principal@gecguntur.ac.in,https://www.gecguntur.ac.in/,Andhra Pradesh
62,Kallam Haranadha Reddy Institute of Technology,B.Tech,Guntur,"Chowdavaram, Guntur, Andhra Pradesh 522019",0863-2119727 | principal@khitguntur.com,https://www.khitguntur.com/,Andhra Pradesh
63,KKR and KSR Institute of Technology and Sciences,B.Tech,Guntur,"Vinjanampadu, Vatticherukuru, Andhra Pradesh 522017",0863-2283336 | principal@kitsguntur.com,https://www.kitsguntur.com/,Andhra Pradesh
64,Krishnaveni Engineering College for Women,B.Tech,Guntur,"Kesanupalli, Narasaraopet, Andhra Pradesh 522601",08647-226737 | principal@kecw.edu.in,https://www.kecw.edu.in/,Andhra Pradesh
65,Krishna Chaitanya Institute of Technology and Sciences,B.Tech,Prakasam,"Devarajugattu, Markapur, Andhra Pradesh 523320",08596-200331 | principal@kitsmarkapur.ac.in,https://www.kitsmarkapur.ac.in/,Andhra Pradesh
66,Loyola Institute of Technology and Management,B.Tech,Guntur,"Loyola Nagar, Dhulipalla, Sattenapalli, Andhra Pradesh 522412",08641-214555 | principal@litam.ac.in,https://www.litam.ac.in/,Andhra Pradesh
67,Malineni Lakshmaiah Womens Engineering College,B.Tech,Guntur,"Pulladigunta, Vatticherukuru, Andhra Pradesh 522017",0863-2286342 | principal@mlwecw.org,https://www.mlwecw.org/,Andhra Pradesh
68,Malineni Perumallu Educational Societys Group of Institutions,B.Tech,Guntur,"Pulladigunta, Vatticherukuru, Andhra Pradesh 522017",0863-2286342 | principal@mpesgi.org,https://www.mpesgi.org/,Andhra Pradesh
69,NRI Institute of Technology Guntur,B.Tech,Guntur,"Pothavarappadu, Agiripalli, Andhra Pradesh 521212",0866-2469666 | principal@nriit.ac.in,https://www.nriit.ac.in/,Andhra Pradesh
70,Newton's Institute of Science and Technology,B.Tech,Guntur,"Alugurajupalli, Koppunoru, Andhra Pradesh 522426",08641-255355 | principal@newtons.edu.in,https://www.newtons.edu.in/,Andhra Pradesh
71,Pace Institute of Technology and Sciences,B.Tech,Prakasam,"NH5, Near Valluramma Temple, Vallur, Andhra Pradesh 523272",08592-272777 | principal@pace.ac.in,https://www.pace.ac.in/,Andhra Pradesh
72,PNC and Vijai Institute of Engineering and Technology,B.Tech,Guntur,"Repudi, Phirangipuram, Andhra Pradesh 522529",08641-255552 | principal@pnceit.ac.in,https://www.pnceit.ac.in/,Andhra Pradesh
73,Priyadarshni Institute of Technology and Management,B.Tech,Guntur,"Pulladigunta, Vatticherukuru, Andhra Pradesh 522017",0863-2286555 | principal@pitm.ac.in,https://www.pitm.ac.in/,Andhra Pradesh
74,Pydah College of Engineering,B.Tech,Kakinada,"Patavala, Kakinada, Andhra Pradesh 533461",0884-2315333 | principal@pydahengg.ac.in,https://www.pydahengg.ac.in/,Andhra Pradesh
75,QIS Institute of Technology,B.Tech,Prakasam,"Vengamukkapalem, Ongole, Andhra Pradesh 523272",08592-281023 | principal@qisit.edu.in,https://www.qisit.edu.in/,Andhra Pradesh
76,Ramachandra College of Engineering,B.Tech,West Godavari,"NH-5 Bypass Road, Vatluru, Eluru, Andhra Pradesh 534007",08812-215193 | principal@rcee.ac.in,https://www.rcee.ac.in/,Andhra Pradesh
77,Rise Krishna Sai Gandhi Group of Institutions,B.Tech,Prakasam,"Vallur, Ongole, Andhra Pradesh 523272",08592-202701 | principal@rise.edu.in,https://www.rise.edu.in/,Andhra Pradesh
78,Rise Krishna Sai Prakasam Group of Institutions,B.Tech,Prakasam,"Vallur, Ongole, Andhra Pradesh 523272",08592-202701 | principal@riseprakasam.edu.in,https://www.riseprakasam.edu.in/,Andhra Pradesh
79,Santhiram Engineering College,B.Tech,Kurnool,"NH-40, Nandyal, Andhra Pradesh 518501",08514-276201 | principal@srecnandyal.edu.in,https://www.srecnandyal.edu.in/,Andhra Pradesh
80,Siddharth Institute of Engineering and Technology,B.Tech,Chittoor,"Siddharth Nagar, Narayanavanam Road, Puttur, Andhra Pradesh 517583",08577-224999 | principal@sietk.org,https://www.sietk.org/,Andhra Pradesh
81,Siddhartha Institute of Science and Technology,B.Tech,Chittoor,"Siddharth Nagar, Narayanavanam Road, Puttur, Andhra Pradesh 517583",08577-224999 | principal@sistk.org,https://www.sistk.org/,Andhra Pradesh
82,Simhadri Educational Society Group of Institutions,B.Tech,Visakhapatnam,"Sabbavaram, Visakhapatnam, Andhra Pradesh 531035",Not Available (after search),Not Available (after search),Andhra Pradesh
83,Sreenivasa Institute of Technology and Management Studies,B.Tech,Chittoor,"Dr Visweswaraya Road, Bangalore-Tirupati Bye-Pass Road, Murukambattu, Chittoor, Andhra Pradesh 517127",08572-246298 | principal@sitams.org,https://www.sitams.org/,Andhra Pradesh
84,Sri Sai Institute of Technology and Science,B.Tech,Kadapa,"Rayachoti, Andhra Pradesh 516270",08561-256011 | principal@ssits.ac.in,https://www.ssits.ac.in/,Andhra Pradesh
85,Sri Venkatesa Perumal College of Engineering and Technology,B.Tech,Chittoor,"RVS Nagar, KN Road, Puttur, Andhra Pradesh 517583",08577-220555 | principal@svpcet.org,https://www.svpcet.org/,Andhra Pradesh
86,Sri Venkateswara Engineering College,B.Tech,Tirupati,"Karakambadi Road, Tirupati, Andhra Pradesh 517507",0877-2285992 | principal@svec.edu.in,https://www.svec.edu.in/,Andhra Pradesh
87,Sri Venkateswara Institute of Technology,B.Tech,Anantapur,"Behind Anantha Steels, Hampapuram, Rapthadu, Anantapur, Andhra Pradesh 515722",08554-249999 | principal@svit.edu.in,https://www.svit.edu.in/,Andhra Pradesh
88,St. Marys Group of Institutions Guntur for Women,B.Tech,Guntur,"Ponnekallu, Tadepalli, Andhra Pradesh 522501",Not Available (after search),Not Available (after search),Andhra Pradesh
89,S V College of Engineering,B.Tech,Tirupati,"Karakambadi Road, Tirupati, Andhra Pradesh 517507",0877-2285201 | principal@svce.edu.in,https://www.svce.edu.in/,Andhra Pradesh
90,Vemu Institute of Technology,B.Tech,Chittoor,"P Kothakota, Puthalapattu, Andhra Pradesh 517112",08572-278447 | principal@vemu.org,https://www.vemu.org/,Andhra Pradesh
91,Vikas Group of Institutions,B.Tech,Krishna,"Nunna, Vijayawada Rural, Andhra Pradesh 521212",0866-2469595 | principal@vikasinstitutionsnunna.org,https://www.vikasinstitutionsnunna.org/,Andhra Pradesh
92,Vishnu Institute of Technology,B.Tech,West Godavari,"Vishnupur, Bhimavaram, Andhra Pradesh 534202",08816-250396 | principal@vishnu.edu.in,https://www.vishnu.edu.in/,Andhra Pradesh
93,Visvodaya Engineering College,B.Tech,Nellore,"Udayagiri Road, Kavali, Andhra Pradesh 524142",08626-240056 | principal@veck.org,https://www.veck.org/,Andhra Pradesh
94,Wellfare Institute of Science Technology and Management,B.Tech,Visakhapatnam,"Pinagadi, Pendurthi, Andhra Pradesh 531173",0891-2866901 | principal@wistm.edu.in,https://www.wistm.edu.in/,Andhra Pradesh
95,YSR Engineering College of YVU,B.Tech,Kadapa,"Korrapadu, Proddatur, Andhra Pradesh 516360",08564-201117 | principal@ysrec.ac.in,https://www.ysrec.ac.in/,Andhra Pradesh
96,Andhra Loyola Institute of Engineering and Technology,B.Tech,Krishna,"Vijayawada, Andhra Pradesh 520008",0866-2498978 | principal@aliet.ac.in,https://www.aliet.ac.in/,Andhra Pradesh
97,Dhanekula Institute of Engineering and Technology,B.Tech,Krishna,"Ganguru, Penamaluru, Andhra Pradesh 521139",0866-2583842 | principal@diet.ac.in,https://www.diet.ac.in/,Andhra Pradesh
98,DJR College of Engineering and Technology,B.Tech,Krishna,"Velpur, Gudavalli, Andhra Pradesh 521104",0866-2862735 | principal@djrcet.edu.in,https://www.djrcet.edu.in/,Andhra Pradesh
99,DJR Institute of Engineering and Technology,B.Tech,Krishna,"Velpur, Gudavalli, Andhra Pradesh 521104",0866-2862735 | principal@djriet.edu.in,https://www.djriet.edu.in/,Andhra Pradesh
100,Gandhi Institute of Technology and Management,MBA,Visakhapatnam,"GITAM, Rushikonda, Visakhapatnam, Andhra Pradesh 530045",0891-2840501 | registrar@gitam.edu,https://www.gitam.edu/,Andhra Pradesh
